WORD
adata
afiša
airis
aknas
alnis
apavs
aplis
arājs
arēna
asaka
asara
asins
astma
auzas
avene
avīze
avots
ābece
ābele
ābols
āksts
āmurs
āpsis
ārija
ārste
ārsts
balle
balss
balva
banda
banga
banka
bante
barža
bauda
bauma
bārda
bebrs
bedre
bērns
bērzs
bieds
biete
bilde
bingo
birka
blusa
blūze
bulta
bumba
bunte
burka
burts
burve
būris
cauna
cālis
celis
celms
cents
ciems
cilts
cimds
cirks
čaula
čells
čūska
dakša
darbs
darva
dārzs
delna
dēlis
diegs
diena
dievs
diēta
diēzs
dille
disks
dīķis
dubļi
dūņas
dūzis
dzeja
dzija
dzīve
džins
džips
džudo
etīde
ezers
ētika
ferma
filma
firma
flīze
flora
flote
fonds
forma
gaiss
gaita
galds
galms
galva
gamma
garša
glāze
golfs
gongs
grams
grava
grāds
grāfs
grēda
grēks
griba
grils
gripa
grīda
grozs
grupa
gulta
halva
haoss
himna
hurma
ideja
ieeja
iesms
ietve
iezis
irsis
izeja
īlens
īriss
jahta
jauda
jezga
josla
josta
jurta
jūdze
jūtas
kadrs
kaija
kaite
kakao
kakls
kakts
kaķis
kalns
kalps
kanna
kanoe
kaons
karma
karpa
karte
kaste
katls
kauja
kauls
kauns
kauss
kālis
kāmis
kārba
kārpa
kārta
kārts
kāsis
kāzas
kēkss
klade
klase
klēts
klija
klubs
kļava
kļūda
koala
kobra
kokle
koris
krava
krāce
krāns
krāsa
krēms
krogs
kross
krusa
krūms
krūts
krūze
kuģis
kulba
kurpe
kūdra
kvass
ķemme
ķerra
ķilda
laiks
laime
laims
laipa
laiva
lampa
lapsa
lasis
lauks
lauma
lauva
lazda
lācis
ledus
lelle
lēkme
liepa
lieta
lifts
litrs
līcis
lūsis
maijs
maiss
maize
malka
malks
mamma
manna
manta
marka
marle
maršs
marts
maska
masts
medus
meita
melis
menca
metro
metrs
mērce
mēris
mēsls
mētra
miegs
miers
miets
mieži
migla
milti
mīkla
muita
muiža
mūris
nafta
nagla
naids
nakts
nasta
nauda
nazis
nātre
nervs
niķis
norma
nulle
oboja
olīva
omīte
opera
ozols
ozons
palma
panda
panna
parks
pasta
pasts
pauze
pāris
pelde
pelni
pelņa
peļķe
peļņa
pērle
piens
piepe
piere
pirts
plate
plecs
pleds
plēve
plīts
plovs
pluss
plūdi
plūme
pļava
prāts
prece
puika
pulks
pulss
pults
pumpa
purns
purvs
putas
putns
putra
pūķis
pūles
pūlis
radio
rampa
raugs
rāmis
redze
reiss
reize
renģe
reņģe
riepa
rinda
rings
risks
ritms
rīkle
ronis
rudzi
rumba
runga
rutks
rūķis
rūpes
sakne
sakta
salms
salna
samts
sargs
sauja
saule
sauna
seifs
serde
serve
sesks
sēkla
sidrs
siena
siens
siers
siets
sieva
siļķe
sirds
sīlis
skala
skals
skaņa
skābe
skola
skuja
slava
slāvs
sleja
slēpe
slida
slota
smaka
solis
spāre
spēks
spēle
spoks
spole
spura
stabs
stars
stats
stāds
stepe
steps
stiga
stils
stīga
stūre
summa
svars
svece
sveķi
svins
svira
svīre
svīta
šahta
šalle
šarms
šifrs
šķēle
šķēps
šķira
šņore
šorti
štābs
švīka
švīts
talka
tango
tanks
tante
tarba
tauki
taure
taurs
tauta
tauva
tārps
telpa
telts
tests
tērps
tētim
tētis
tilts
tinte
tīkls
tīnis
tonis
tonna
torte
tosts
trase
triks
trose
tulks
tulpe
tumsa
ubags
uguns
urbis
uzacs
ūdele
ūdens
vaigs
vaina
valis
vanna
varde
vārds
vārna
vārpa
vārti
vecis
velns
vergs
veste
vēsts
vētra
vēzis
video
vidus
viela
vieta
vilks
villa
vilna
virve
vista
zaķis
zalve
zarna
zāģis
zārds
zebra
zelts
ziede
zieds
ziema
zilbe
zirgs
zutis
zvans
zveja
zvērs
zvīņa
žagas
žāvas
žests
žurka
